RegionCode,RegionName,Count,File,Genes
1111,Stacking_Ensemble__AND__Voting_Ensemble__AND__XGBoost__AND__Random_Forest,7,graph/venn_regions/region_1111_Stacking_Ensemble__AND__Voting_Ensemble__AND__XGBoost__AND__Random_Forest.txt,ACTN1;EEF1AKMT2;MAP2K3;RCN2;RPL29;SLC36A1;SMN1
0001,Random_Forest,5,graph/venn_regions/region_0001_Random_Forest.txt,MAVS;P0P5;RPL21;TLE5;ZFYVE1
0010,XGBoost,5,graph/venn_regions/region_0010_XGBoost.txt,CHD10;ENSG00000276533;POPS;PRPF18;SETA4
1000,Stacking_Ensemble,4,graph/venn_regions/region_1000_Stacking_Ensemble.txt,CERS5;ENSG00000285272;SUSD1;UBE2Q2
1100,Stacking_Ensemble__AND__Voting_Ensemble,4,graph/venn_regions/region_1100_Stacking_Ensemble__AND__Voting_Ensemble.txt,DCBLD1;KLHL21;LSM12;STEAP4
0011,XGBoost__AND__Random_Forest,3,graph/venn_regions/region_0011_XGBoost__AND__Random_Forest.txt,DENND3;IL17RA;UTP18
1110,Stacking_Ensemble__AND__Voting_Ensemble__AND__XGBoost,3,graph/venn_regions/region_1110_Stacking_Ensemble__AND__Voting_Ensemble__AND__XGBoost.txt,ARL4C;GPR180;IL1R2
0111,Voting_Ensemble__AND__XGBoost__AND__Random_Forest,2,graph/venn_regions/region_0111_Voting_Ensemble__AND__XGBoost__AND__Random_Forest.txt,ENSG00000282572;RBMX
1101,Stacking_Ensemble__AND__Voting_Ensemble__AND__Random_Forest,2,graph/venn_regions/region_1101_Stacking_Ensemble__AND__Voting_Ensemble__AND__Random_Forest.txt,CHCHD10;RPS7
0100,Voting_Ensemble,1,graph/venn_regions/region_0100_Voting_Ensemble.txt,UBE2O
0101,Voting_Ensemble__AND__Random_Forest,1,graph/venn_regions/region_0101_Voting_Ensemble__AND__Random_Forest.txt,MTMR3
0110,Voting_Ensemble__AND__XGBoost,0,graph/venn_regions/region_0110_Voting_Ensemble__AND__XGBoost.txt,
1001,Stacking_Ensemble__AND__Random_Forest,0,graph/venn_regions/region_1001_Stacking_Ensemble__AND__Random_Forest.txt,
1010,Stacking_Ensemble__AND__XGBoost,0,graph/venn_regions/region_1010_Stacking_Ensemble__AND__XGBoost.txt,
1011,Stacking_Ensemble__AND__XGBoost__AND__Random_Forest,0,graph/venn_regions/region_1011_Stacking_Ensemble__AND__XGBoost__AND__Random_Forest.txt,
